url,meta,sender,sender_type,sender_id,page1text,page1emoji,page2text,page2emoji,page3text,page3emoji,page4text,page4emoji,page5text,page5emoji,page6text,page6emoji,page7text,page7emoji,page8text,page8emoji,page9text,page9emoji,page10text,page10emoji,page11text,page11emoji,page12text,page12emoji,page13text,page13emoji,page14text,page14emoji,page15text,page15emoji,page16text,page16emoji,page17text,page17emoji,page18text,page18emoji,page19text,page19emoji,page20text,page20emoji,page21text,page21emoji,page22text,page22emoji,page23text,page23emoji,page24text,page24emoji,questions,maxquestions,sex,age,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,i-have-received-written-information-about-the-purpose-and-methods-of-the-experiment-i-know-that-my-participation-is-voluntary-and-that-i-can-withdraw-from-the-experiment-at-any-time-without-having-to-give-a-reason-i-give-my-consent-to-participate-in-this-study-,what-is-your-sex,what-is-your-age-group,page6textanswer,how-much-do-you-agree-with-the-statement,page13emojianswer,page9textanswer,page18emojianswer,page8emojianswer,page12emojianswer,page19textanswer,page20textanswer,page18textanswer,page14emojianswer,page3emojianswer,page15textanswer,page16emojianswer,page1emojianswer,page1textanswer,page2textanswer,CK,page15emojianswer,page10emojianswer,page21emojianswer,page14textanswer,page22emojianswer,page11textanswer,page19emojianswer,page17emojianswer,page9emojianswer,page22textanswer,page7textanswer,page4emojianswer,page5textanswer,page12textanswer,page24textanswer,page20emojianswer,page8textanswer,page16textanswer,page23textanswer,page17textanswer,page11emojianswer,page24emojianswer,page7emojianswer,page4textanswer,page21textanswer,page23emojianswer,page6emojianswer,page2emojianswer,page5emojianswer,page3textanswer,page10textanswer,page13textanswer,totaltextanswers,totaltextscore,totalemojianswers,totalemojiscore,emojiscore,textscore
[object Object],"{""labjs_version"":""20.1.1"",""labjs_build"":{""flavor"":""production"",""commit"":""c48ac4ada3769e8d34489594ab03097d5f256ac7""},""location"":""https://open-lab.online/test/final-task---level-of-agreeance/5f993ecc0bbbdd5ca04d3bde?fbclid=IwAR1dvx42-WM83xvS0RuVgqAqy942dF76jhzdyJzkGSsoFJyamOLftcc_1kE"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36"",""platform"":""MacIntel"",""language"":""da-DK"",""locale"":""da"",""timeZone"":""Europe/Copenhagen"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1393,""scroll_height"":741,""window_innerWidth"":1393,""window_innerHeight"":765,""devicePixelRatio"":2}",Information letter,html.Page,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,24,103,207,,form submission,1783.9470000025144,696.1750000482425,692.087,708.753,2492.7000000025146,2493.2100000442006,2020-10-28T09:50:06.776Z,2508.681,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,217841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Informed consent,html.Page,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,24,100,100,,form submission,3059.9140000188313,2493.6650000163354,2492.015,2508.681,5568.595000018831,5568.8800000352785,2020-10-28T09:50:09.851Z,5593.026,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Questions about participant,html.Page,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,24,100,100,,form submission,7684.019000053477,5569.120000000112,5576.36,5593.026,13277.045000053477,13277.490000007674,2020-10-28T09:50:17.560Z,13292.718,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,102,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Information about the experiment,html.Page,3,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,24,100,100,,form submission,19451.302000041927,13277.830000035465,13276.052,13292.718,32744.020000041928,32744.400000025053,2020-10-28T09:50:37.028Z,32838.325,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page6_text,html.Page,4_0,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,24,100,100,,form submission,23268.400000019654,32826.545000018086,32821.659,32838.325,56106.72500001965,56107.095000043046,2020-10-28T09:51:00.391Z,56202.756,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page13_emoji,html.Page,4_1,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,24,100,100,,form submission,28541.539000040437,56191.435000044294,56186.09,56202.756,84744.29500004044,84744.55500004115,2020-10-28T09:51:29.029Z,84825.54,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page9_text,html.Page,4_2,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,24,100,100,,form submission,9064.655000043611,84812.91000003694,84808.874,84825.54,93890.1950000436,93890.63000003807,2020-10-28T09:51:38.175Z,93976.103,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page18_emoji,html.Page,4_3,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,5,24,100,100,,form submission,25740.17200001341,93964.7550000227,93959.437,93976.103,119716.27500001341,119716.6150000412,2020-10-28T09:52:04.002Z,119805.134,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,6,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page8_emoji,html.Page,4_4,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,6,24,100,100,,form submission,10157.866000047026,119792.6350000198,119788.468,119805.134,129963.00000004703,129963.76000001328,2020-10-28T09:52:14.249Z,130048.781,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,6,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page12_emoji,html.Page,4_5,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,7,24,100,100,,form submission,15243.524000009944,130037.05500002252,130032.115,130048.781,145292.30500000995,145292.73500002455,2020-10-28T09:52:29.579Z,145367.028,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,5,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
